Source, Target
2,0
3,0
3,1
3,2
4,0
4,2
4,3
5,0
5,2
5,3
5,4
7,0
7,2
7,3
7,4
7,5
8,0
8,2
8,3
8,4
8,5
8,7
9,1
9,3
9,4
10,1
10,3
10,8
10,9
11,0
11,2
11,3
11,4
11,5
11,7
11,8
13,1
13,3
13,8
13,9
13,10
14,3
15,1
15,3
15,7
15,8
15,9
15,10
15,13
16,0
16,2
16,3
16,4
16,5
16,7
16,8
16,11
17,1
17,3
17,8
17,9
17,10
17,13
17,15
18,15
19,0
19,2
19,3
19,4
19,5
19,7
19,8
19,11
19,16
20,1
20,3
20,8
20,9
20,10
20,12
20,13
20,15
20,17
21,0
21,2
21,3
21,4
21,5
21,7
21,8
21,11
21,16
21,19
22,1
22,3
22,8
22,9
22,10
22,13
22,15
22,17
22,20
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,11
23,16
23,19
23,21
25,3
26,2
26,3
26,4
26,5
26,7
26,8
26,11
26,16
26,19
26,21
26,23
27,23
28,0
28,2
28,3
28,4
28,5
28,7
28,8
28,11
28,16
28,19
28,21
28,23
28,26
29,0
29,1
29,2
29,3
29,4
29,5
29,7
29,8
29,9
29,10
29,11
29,13
29,15
29,16
29,17
29,19
29,20
29,21
29,22
29,23
29,26
29,28
30,0
30,2
30,3
30,4
30,5
30,7
30,8
30,10
30,11
30,16
30,19
30,21
30,23
30,24
30,26
30,28
30,29
31,0
31,2
31,3
31,4
31,5
31,7
31,8
31,11
31,15
31,16
31,18
31,19
31,21
31,23
31,26
31,28
31,29
31,30
32,1
32,3
32,8
32,9
32,10
32,13
32,15
32,17
32,18
32,20
32,22
32,29
