Source, Target
4,1
4,3
5,3
5,4
6,3
6,4
6,5
7,3
7,4
7,5
8,0
8,3
8,4
8,5
8,6
8,7
9,0
9,3
9,4
9,5
9,6
9,8
10,4
10,9
11,1
11,4
11,9
11,10
12,3
12,4
12,5
12,6
12,7
12,8
12,9
13,4
13,5
13,6
13,8
13,12
14,1
14,4
14,7
14,8
14,9
14,11
15,1
15,4
15,9
15,10
15,11
15,14
16,0
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,12
17,1
17,2
17,4
17,8
17,9
17,10
17,11
17,14
17,15
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,12
18,13
18,16
19,1
19,4
19,9
19,10
19,11
19,14
19,15
19,17
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,12
20,13
20,16
20,18
21,1
21,4
21,9
21,10
21,11
21,14
21,15
21,17
21,19
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,12
22,16
22,18
22,20
23,7
24,17
25,3
25,4
25,5
25,6
25,8
25,12
25,16
25,18
25,20
25,22
26,3
26,4
26,5
26,6
26,8
26,9
26,12
26,16
26,18
26,20
26,22
26,25
27,0
27,1
27,3
27,4
27,5
27,6
27,8
27,9
27,10
27,11
27,12
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,25
27,26
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,12
28,13
28,16
28,17
28,18
28,20
28,22
28,25
28,26
28,27
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,12
29,13
29,16
29,18
29,20
29,22
29,25
29,26
29,27
29,28
30,1
30,4
30,9
30,10
30,11
30,14
30,15
30,17
30,19
30,21
30,27
