Source, Target
3,1
3,2
4,2
4,3
5,2
5,3
5,4
6,0
6,2
6,3
6,4
6,5
8,0
8,2
8,3
8,4
8,5
8,6
9,3
9,8
10,1
10,3
10,8
10,9
11,2
11,3
11,4
11,5
11,6
11,8
12,1
12,3
12,6
12,8
12,10
13,1
13,3
13,7
13,8
13,9
13,10
13,12
14,0
14,2
14,3
14,4
14,5
14,6
14,8
14,11
15,1
15,3
15,6
15,8
15,9
15,10
15,12
15,13
16,2
16,3
16,4
16,5
16,6
16,8
16,11
16,14
17,1
17,3
17,8
17,9
17,10
17,12
17,13
17,15
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,11
18,14
18,16
19,1
19,3
19,8
19,9
19,10
19,12
19,13
19,15
19,17
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,11
20,14
20,16
20,18
21,2
21,3
21,4
21,5
21,6
21,11
21,14
21,16
21,18
21,20
22,2
22,3
22,4
22,5
22,6
22,8
22,11
22,14
22,16
22,18
22,20
22,21
23,0
23,1
23,2
23,3
23,4
23,5
23,6
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
24,2
24,3
24,4
24,5
24,6
24,8
24,11
24,14
24,15
24,16
24,18
24,20
24,21
24,22
24,23
25,2
25,3
25,4
25,5
25,6
25,7
25,8
25,11
25,14
25,16
25,18
25,20
25,21
25,22
25,23
25,24
26,1
26,3
26,8
26,9
26,10
26,12
26,13
26,15
26,17
26,19
26,23
