Source, Target
2,1
3,1
3,2
4,2
5,1
5,2
5,4
7,3
8,1
8,3
8,7
9,1
9,3
9,7
9,8
10,0
11,1
11,3
11,7
11,8
11,9
12,1
12,2
12,3
12,4
12,5
13,0
13,2
13,3
13,4
13,5
13,12
14,7
14,9
14,11
15,0
15,10
15,13
16,2
16,4
16,5
16,12
17,1
17,3
17,7
17,8
17,11
17,14
18,1
18,8
18,9
18,11
18,14
18,17
19,0
19,2
19,3
19,4
19,5
19,6
19,10
19,12
19,13
19,15
20,0
20,6
20,10
20,13
20,15
20,19
21,1
21,2
21,3
21,4
21,5
21,12
21,13
21,19
22,0
22,1
22,2
22,3
22,4
22,5
22,6
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,17
22,18
22,19
22,20
22,21
23,0
23,10
23,13
23,15
23,19
23,20
23,22
24,5
24,16
25,0
25,13
25,15
25,19
25,22
26,1
26,3
26,7
26,8
26,9
26,11
26,14
26,17
26,18
26,22
27,11
27,17
27,26
28,0
28,10
28,13
28,15
28,19
28,22
28,23
29,2
29,4
29,5
29,12
29,13
29,19
29,21
29,22
