YOR213C	YOL051W	YDR488C	YGR104C	YGL025C	YPL042C	YNL103W	YOL135C	YDR443C	YER179W	YNR010W	YNL025C	YHR041C	YLR071C	YBR193C	YDL005C	YML081C-A	YBL079W	YPR168W	YHR058C	YBL093C	YMR112C	YCR081W	YDR308C	YER022W	YOR174W	YKL085W	YKL079W	YBR253W	YNL236W	YGL151W	YPL129W	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	
0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	
1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	
0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	
0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
