Source, Target
0,23
1,3
1,4
1,5
1,7
1,8
1,10
1,12
1,13
1,14
1,15
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,28
1,29
1,30
2,11
3,1
3,4
3,5
3,7
3,8
3,10
3,12
3,13
3,14
3,15
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,28
3,29
3,30
4,1
4,3
4,5
4,7
4,8
4,10
4,12
4,13
4,14
4,15
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,28
4,29
4,30
5,1
5,3
5,4
5,7
5,8
5,10
5,11
5,12
5,13
5,14
5,15
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,28
5,29
5,30
6,19
7,1
7,3
7,4
7,5
7,8
7,10
7,12
7,13
7,14
7,15
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,28
7,29
7,30
8,1
8,3
8,4
8,5
8,7
8,10
8,12
8,13
8,14
8,15
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,28
8,29
8,30
10,1
10,3
10,4
10,5
10,7
10,8
10,12
10,13
10,14
10,15
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,27
10,28
10,29
10,30
11,2
11,5
11,22
11,29
11,30
12,1
12,3
12,4
12,5
12,7
12,8
12,10
12,13
12,14
12,15
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,28
12,29
12,30
13,1
13,3
13,4
13,5
13,7
13,8
13,10
13,12
13,14
13,15
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,28
13,29
13,30
14,1
14,3
14,4
14,5
14,7
14,8
14,10
14,12
14,13
14,15
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,28
14,29
14,30
15,1
15,3
15,4
15,5
15,7
15,8
15,10
15,12
15,13
15,14
15,18
15,19
15,20
15,21
15,23
15,24
15,25
15,28
15,29
15,30
16,29
17,4
18,1
18,3
18,4
18,5
18,7
18,8
18,10
18,12
18,13
18,14
18,15
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,28
18,29
18,30
19,1
19,3
19,4
19,5
19,6
19,7
19,8
19,10
19,12
19,13
19,14
19,15
19,18
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,28
19,29
19,30
20,1
20,3
20,4
20,5
20,7
20,8
20,10
20,12
20,13
20,14
20,15
20,18
20,19
20,21
20,23
20,24
20,25
20,28
20,29
20,30
21,1
21,3
21,4
21,5
21,7
21,8
21,10
21,12
21,13
21,14
21,15
21,18
21,19
21,20
21,22
21,23
21,24
21,25
21,28
21,29
21,30
22,1
22,3
22,4
22,5
22,7
22,8
22,10
22,11
22,12
22,13
22,14
22,18
22,19
22,21
22,23
22,24
22,25
22,28
22,29
22,30
23,0
23,1
23,3
23,4
23,5
23,7
23,8
23,10
23,12
23,13
23,14
23,15
23,18
23,19
23,20
23,21
23,22
23,24
23,25
23,28
23,29
23,30
24,1
24,3
24,4
24,5
24,7
24,8
24,10
24,12
24,13
24,14
24,15
24,18
24,19
24,20
24,21
24,22
24,23
24,25
24,28
24,29
24,30
25,1
25,3
25,4
25,5
25,7
25,8
25,10
25,12
25,13
25,14
25,15
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,28
25,29
25,30
26,19
27,10
28,1
28,3
28,4
28,5
28,7
28,8
28,10
28,12
28,13
28,14
28,15
28,18
28,19
28,20
28,21
28,22
28,23
28,24
28,25
28,29
28,30
29,1
29,3
29,4
29,5
29,7
29,8
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,18
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,28
29,30
30,1
30,3
30,4
30,5
30,7
30,8
30,10
30,11
30,12
30,13
30,14
30,15
30,18
30,19
30,20
30,21
30,22
30,23
30,24
30,25
30,28
30,29
