Source, Target
2,0
3,1
3,2
4,0
4,1
4,2
4,3
5,0
5,1
5,2
5,3
5,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,2
8,4
8,7
9,1
9,3
9,4
9,5
9,7
10,0
10,1
10,2
10,3
10,4
10,5
10,7
10,8
10,9
12,0
12,2
12,4
12,7
12,8
12,10
13,0
13,1
13,2
13,3
13,4
13,5
13,7
13,8
13,9
13,10
13,12
14,0
14,1
14,2
14,3
14,4
14,5
14,7
14,8
14,9
14,10
14,12
14,13
15,0
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,9
15,10
15,12
15,13
15,14
16,7
17,0
17,2
17,4
17,7
17,8
17,10
17,12
17,13
17,14
18,1
18,3
18,4
18,5
18,7
18,9
18,10
18,13
18,14
18,15
19,0
19,2
19,4
19,7
19,8
19,10
19,12
19,13
19,14
19,15
19,17
20,0
20,2
20,3
20,4
20,5
20,7
20,8
20,10
20,12
20,13
20,14
20,15
20,17
20,19
21,0
21,2
21,4
21,7
21,8
21,10
21,11
21,12
21,13
21,14
21,17
21,19
21,20
22,0
22,1
22,2
22,7
22,10
22,12
22,13
22,14
22,17
22,19
22,20
22,21
23,0
23,1
23,2
23,3
23,4
23,5
23,7
23,8
23,10
23,12
23,13
23,14
23,15
23,17
23,19
23,20
23,21
23,22
24,0
24,1
24,3
24,4
24,5
24,7
24,9
24,10
24,13
24,14
24,15
24,17
24,18
24,19
24,21
24,23
25,0
25,2
25,4
25,5
25,7
25,8
25,10
25,12
25,13
25,14
25,17
25,19
25,20
25,21
25,22
25,23
25,24
26,0
26,2
26,4
26,7
26,8
26,10
26,12
26,13
26,14
26,15
26,17
26,19
26,20
26,21
26,22
26,23
26,25
