0	YMR227C	YGL112C	YBR081C	YDR145W	YML098W	YML015C	YDR392W	YDR176W	YPL254W	YOL148C	YPL011C	YER148W	YLR055C	YCL010C	YGR274C	YGR252W	YMR236W	YDR167W	YDR448W	YPL129W	YGL066W	YBR198C	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	
0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	
0	0	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1	
0	1	1	1	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	
0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	
0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	
0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	
0	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	
0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	
0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	
0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	
0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	
0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	
0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	
0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	
0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	
0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	
0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	
