Source, Target
2,1
3,2
4,1
4,2
4,3
5,1
5,2
6,2
6,4
6,5
7,2
7,3
8,2
8,3
8,4
8,7
9,2
9,7
9,8
10,2
10,3
10,4
10,7
10,8
10,9
11,1
11,2
11,4
11,6
12,1
12,4
12,11
13,2
13,3
13,10
14,8
14,9
14,10
15,1
15,2
15,4
15,5
15,11
16,2
16,3
16,8
16,10
17,1
17,2
17,3
17,4
17,5
17,6
17,7
17,10
17,11
17,15
17,16
18,1
18,2
18,3
18,4
18,5
18,8
18,9
18,10
18,11
18,15
19,2
19,3
19,4
19,7
19,8
19,9
19,10
19,14
19,16
19,18
20,12
21,2
21,4
21,10
21,18
22,1
22,2
22,3
22,4
22,5
22,6
22,9
22,10
22,11
22,13
22,15
22,16
22,17
22,18
